CpG Number,Start Position,End Position,Obs/Exp,%GC
1,743,942,1.87,50.00
2,744,943,1.84,50.50
3,745,944,1.84,50.50
4,746,945,1.93,50.50
5,747,946,1.93,50.50
6,748,947,1.93,50.50
7,749,948,1.88,51.00
8,750,949,1.85,51.50
9,751,950,1.82,52.00
10,752,951,1.82,52.00
11,753,952,1.90,52.00
12,754,953,1.90,52.00
13,755,954,1.85,52.50
14,756,955,1.80,53.00
15,757,956,1.80,53.00
16,758,957,1.80,53.00
17,759,958,1.78,53.50
18,760,959,1.78,53.50
19,761,960,1.83,53.50
20,762,961,1.81,53.50
21,763,962,1.81,53.50
22,764,963,1.76,54.00
23,765,964,1.76,54.00
24,766,965,1.79,54.50
25,767,966,1.77,55.00
26,768,967,1.77,55.00
27,769,968,1.79,55.50
28,770,969,1.79,55.50
29,771,970,1.82,56.00
30,772,971,1.77,56.00
31,773,972,1.82,56.00
32,774,973,1.82,56.00
33,775,974,1.77,56.00
34,776,975,1.74,56.50
35,777,976,1.77,57.00
36,778,977,1.74,57.50
37,779,978,1.74,57.50
38,780,979,1.77,58.00
39,781,980,1.74,58.50
40,782,981,1.74,58.50
41,783,982,1.77,59.00
42,784,983,1.74,59.50
43,785,984,1.74,59.50
44,786,985,1.72,60.00
45,787,986,1.72,60.00
46,788,987,1.74,59.50
47,789,988,1.76,60.00
48,790,989,1.79,59.50
49,791,990,1.76,60.00
50,792,991,1.76,60.00
51,793,992,1.78,60.50
52,794,993,1.78,60.50
53,795,994,1.75,61.00
54,796,995,1.77,60.50
55,797,996,1.79,60.00
56,798,997,1.79,60.00
57,799,998,1.76,60.50
58,800,999,1.76,60.50
59,801,1000,1.72,61.00
60,802,1001,1.72,61.00
61,803,1002,1.70,60.50
62,804,1003,1.67,61.00
63,805,1004,1.67,61.00
64,806,1005,1.69,60.50
65,807,1006,1.66,61.00
66,808,1007,1.68,60.50
67,809,1008,1.71,60.00
68,810,1009,1.71,60.00
69,811,1010,1.73,59.50
70,812,1011,1.73,59.50
71,813,1012,1.71,60.00
72,814,1013,1.75,60.00
73,815,1014,1.75,60.00
74,816,1015,1.75,60.00
75,817,1016,1.77,59.50
76,818,1017,1.75,60.00
77,819,1018,1.75,60.00
78,820,1019,1.72,60.50
79,821,1020,1.72,60.50
80,822,1021,1.75,60.00
81,823,1022,1.72,60.50
82,824,1023,1.70,60.00
83,825,1024,1.75,60.00
84,826,1025,1.75,60.00
85,827,1026,1.77,59.50
86,828,1027,1.80,59.00
87,829,1028,1.79,59.00
88,830,1029,1.79,59.00
89,831,1030,1.79,59.00
90,832,1031,1.82,58.50
91,833,1032,1.82,58.50
92,834,1033,1.82,58.50
93,835,1034,1.82,58.50
94,836,1035,1.82,58.50
95,837,1036,1.79,59.00
96,838,1037,1.76,58.50
97,839,1038,1.73,59.00
98,840,1039,1.73,59.00
99,841,1040,1.76,58.50
100,842,1041,1.73,58.00
101,843,1042,1.79,58.00
102,844,1043,1.82,57.50
103,845,1044,1.85,57.00
104,846,1045,1.85,57.00
105,847,1046,1.85,57.00
106,848,1047,1.82,57.50
107,849,1048,1.82,57.50
108,850,1049,1.79,57.00
109,851,1050,1.79,57.00
110,852,1051,1.82,57.50
111,853,1052,1.79,58.00
112,854,1053,1.82,57.50
113,855,1054,1.85,57.00
114,856,1055,1.88,56.50
115,857,1056,1.88,56.50
116,858,1057,1.91,56.00
117,859,1058,1.95,55.50
118,860,1059,1.95,55.50
119,861,1060,1.88,55.50
120,862,1061,1.85,56.00
121,863,1062,1.92,56.00
122,864,1063,1.88,56.50
123,865,1064,1.92,56.00
124,866,1065,1.92,56.00
125,867,1066,1.92,56.00
126,868,1067,1.86,56.00
127,869,1068,1.89,56.50
128,870,1069,1.89,56.50
129,871,1070,1.88,56.50
