CpG Number,Start Position,End Position,Obs/Exp,%GC
1,0,199,2.00,100.00
2,1,200,2.00,100.00
3,2,201,2.00,100.00
4,3,202,2.00,100.00
5,4,203,2.00,100.00
6,5,204,2.00,100.00
7,6,205,2.00,100.00
8,7,206,2.00,100.00
9,8,207,2.00,100.00
10,9,208,2.00,100.00
11,10,209,2.00,100.00
12,11,210,2.00,100.00
13,12,211,2.00,100.00
14,13,212,2.00,100.00
15,14,213,2.00,100.00
16,15,214,2.00,100.00
17,16,215,2.00,100.00
18,17,216,2.00,100.00
19,18,217,2.00,100.00
20,19,218,2.00,100.00
21,20,219,2.00,100.00
22,21,220,2.00,100.00
23,22,221,2.00,100.00
24,23,222,2.00,100.00
25,24,223,2.00,100.00
26,25,224,2.00,100.00
27,26,225,2.00,100.00
28,27,226,2.00,100.00
29,28,227,2.00,100.00
30,29,228,2.00,100.00
31,30,229,2.00,100.00
32,31,230,2.00,100.00
33,32,231,2.00,100.00
34,33,232,2.00,100.00
35,34,233,2.00,100.00
36,35,234,2.00,100.00
37,36,235,2.00,100.00
38,37,236,2.00,100.00
39,38,237,2.00,100.00
40,39,238,2.00,100.00
41,40,239,2.00,100.00
42,41,240,2.00,100.00
43,42,241,2.00,100.00
44,43,242,2.00,100.00
45,44,243,2.00,100.00
46,45,244,2.00,100.00
47,46,245,2.00,100.00
48,47,246,2.00,100.00
49,48,247,2.00,100.00
50,49,248,2.00,100.00
51,50,249,2.00,100.00
52,51,250,2.00,100.00
53,52,251,2.00,100.00
54,53,252,2.00,100.00
55,54,253,2.00,100.00
56,55,254,2.00,100.00
57,56,255,2.00,100.00
58,57,256,2.00,100.00
59,58,257,2.00,100.00
60,59,258,2.00,100.00
61,60,259,2.00,100.00
62,61,260,2.00,100.00
63,62,261,2.00,100.00
64,63,262,2.00,100.00
65,64,263,2.00,100.00
66,65,264,2.00,100.00
67,66,265,2.00,100.00
68,67,266,2.00,100.00
69,68,267,2.00,100.00
70,69,268,2.00,100.00
71,70,269,2.00,100.00
72,71,270,2.00,100.00
73,72,271,2.00,100.00
74,73,272,2.00,100.00
75,74,273,2.00,100.00
76,75,274,2.00,100.00
77,76,275,2.00,100.00
78,77,276,2.00,100.00
79,78,277,2.00,100.00
80,79,278,2.00,100.00
81,80,279,2.00,100.00
82,81,280,2.00,100.00
83,82,281,2.00,100.00
84,83,282,2.00,100.00
85,84,283,2.00,100.00
86,85,284,2.00,100.00
87,86,285,2.00,100.00
88,87,286,2.00,100.00
89,88,287,2.00,100.00
90,89,288,2.00,100.00
91,90,289,2.00,100.00
92,91,290,2.00,100.00
93,92,291,2.00,100.00
94,93,292,2.00,100.00
95,94,293,2.00,100.00
96,95,294,2.00,100.00
97,96,295,2.00,100.00
98,97,296,2.00,100.00
99,98,297,2.00,100.00
100,99,298,2.00,100.00
101,100,299,2.00,100.00
102,101,300,2.00,100.00
103,102,301,2.00,100.00
104,103,302,2.00,100.00
105,104,303,2.00,100.00
106,105,304,2.00,100.00
107,106,305,2.00,100.00
108,107,306,2.00,100.00
109,108,307,2.00,100.00
110,109,308,2.00,100.00
111,110,309,2.00,100.00
112,111,310,2.00,100.00
113,112,311,2.00,100.00
114,113,312,2.00,100.00
115,114,313,2.00,100.00
116,115,314,2.00,100.00
117,116,315,2.00,100.00
118,117,316,2.00,100.00
119,118,317,2.00,100.00
120,119,318,2.00,100.00
121,120,319,2.00,100.00
122,121,320,2.00,100.00
123,122,321,2.00,100.00
124,123,322,2.00,100.00
125,124,323,2.00,100.00
126,125,324,2.00,100.00
127,126,325,2.00,100.00
128,127,326,2.00,100.00
129,128,327,2.00,100.00
130,129,328,2.00,100.00
131,130,329,2.00,100.00
132,131,330,2.00,100.00
133,132,331,2.00,100.00
134,133,332,2.00,100.00
135,134,333,2.00,100.00
136,135,334,2.00,100.00
137,136,335,2.00,100.00
138,137,336,2.00,100.00
139,138,337,2.00,100.00
140,139,338,2.00,100.00
141,140,339,2.00,100.00
142,141,340,2.00,100.00
143,142,341,2.00,100.00
144,143,342,2.00,100.00
145,144,343,2.00,100.00
146,145,344,2.00,100.00
147,146,345,2.00,100.00
148,147,346,2.00,100.00
149,148,347,2.00,100.00
150,149,348,2.00,100.00
151,150,349,2.00,100.00
152,151,350,2.00,100.00
153,152,351,2.00,100.00
154,153,352,2.00,100.00
155,154,353,2.00,100.00
156,155,354,2.00,100.00
157,156,355,2.00,100.00
158,157,356,2.00,100.00
159,158,357,2.00,100.00
160,159,358,2.00,100.00
161,160,359,2.00,100.00
162,161,360,2.00,100.00
163,162,361,2.00,100.00
164,163,362,2.00,100.00
165,164,363,2.00,100.00
166,165,364,2.00,100.00
167,166,365,2.00,100.00
168,167,366,2.00,100.00
169,168,367,2.00,100.00
170,169,368,2.00,100.00
171,170,369,2.00,100.00
172,171,370,2.00,100.00
173,172,371,2.00,100.00
174,173,372,2.00,100.00
175,174,373,2.00,100.00
176,175,374,2.00,100.00
177,176,375,2.00,100.00
178,177,376,2.00,100.00
179,178,377,2.00,100.00
180,179,378,2.00,100.00
181,180,379,2.00,100.00
182,181,380,2.00,100.00
183,182,381,2.00,100.00
184,183,382,2.00,100.00
185,184,383,2.00,100.00
186,185,384,2.00,100.00
187,186,385,2.00,100.00
188,187,386,2.00,100.00
189,188,387,2.00,100.00
190,189,388,2.00,100.00
191,190,389,2.00,100.00
192,191,390,2.00,100.00
193,192,391,2.00,100.00
194,193,392,2.00,100.00
195,194,393,2.00,100.00
